date,age,cases
2020-07-09,45_49,54
2020-07-09,50_54,47
2020-07-09,55_59,38
2020-07-09,60+,131
2020-07-10,00_04,9
2020-07-10,05_09,14
2020-07-10,10_14,25
2020-07-10,15_19,27
2020-07-10,20_24,39
2020-07-10,25_29,49
2020-07-10,30_34,36
2020-07-10,35_39,47
2020-07-10,40_44,42
2020-07-10,45_49,37
2020-07-10,50_54,43
2020-07-10,55_59,29
2020-07-10,60+,113
2020-07-11,00_04,8
2020-07-11,05_09,14
2020-07-11,10_14,18
2020-07-11,15_19,24
2020-07-11,20_24,39
2020-07-11,25_29,45
2020-07-11,30_34,51
2020-07-11,35_39,33
2020-07-11,40_44,34
2020-07-11,45_49,36
2020-07-11,50_54,23
2020-07-11,55_59,29
2020-07-11,60+,65
2020-07-12,00_04,11
2020-07-12,05_09,14
2020-07-12,10_14,8
2020-07-12,15_19,22
2020-07-12,20_24,33
2020-07-12,25_29,45
2020-07-12,30_34,39
2020-07-12,35_39,29
2020-07-12,40_44,28
2020-07-12,45_49,20
2020-07-12,50_54,29
2020-07-12,55_59,24
2020-07-12,60+,46
2020-07-13,00_04,14
2020-07-13,05_09,26
2020-07-13,10_14,15
2020-07-13,15_19,34
2020-07-13,20_24,54
2020-07-13,25_29,74
2020-07-13,30_34,74
2020-07-13,35_39,62
2020-07-13,40_44,56
2020-07-13,45_49,45
2020-07-13,50_54,38
2020-07-13,55_59,40
2020-07-13,60+,134
2020-07-14,00_04,20
2020-07-14,05_09,22
2020-07-14,10_14,26
2020-07-14,15_19,23
2020-07-14,20_24,60
2020-07-14,25_29,63
2020-07-14,30_34,71
2020-07-14,35_39,57
2020-07-14,40_44,49
2020-07-14,45_49,43
2020-07-14,50_54,33
2020-07-14,55_59,32
2020-07-14,60+,150
2020-07-15,00_04,23
2020-07-15,05_09,17
2020-07-15,10_14,16
2020-07-15,15_19,38
2020-07-15,20_24,65
2020-07-15,25_29,77
2020-07-15,30_34,72
2020-07-15,35_39,58
2020-07-15,40_44,67
2020-07-15,45_49,50
2020-07-15,50_54,50
2020-07-15,55_59,42
2020-07-15,60+,143
2020-07-16,00_04,22
2020-07-16,05_09,16
2020-07-16,10_14,13
2020-07-16,15_19,37
